caldt,sprtrn
06/23/2003,-0.014111
06/24/2003,0.001834
06/25/2003,-0.008267
06/26/2003,0.010776
06/27/2003,-0.009738
06/30/2003,-0.001762
07/01/2003,0.008025
07/02/2003,0.011646
07/03/2003,-0.008111
07/07/2003,0.018992
07/08/2003,0.003405
07/09/2003,-0.005586
07/10/2003,-0.013480
07/11/2003,0.009548
07/14/2003,0.005731
07/15/2003,-0.003427
07/16/2003,-0.006417
07/17/2003,-0.012344
07/18/2003,0.011806
07/21/2003,-0.014618
07/22/2003,0.009512
07/23/2003,0.000506
07/24/2003,-0.007091
07/25/2003,0.017400
07/28/2003,-0.002163
07/29/2003,-0.007265
07/30/2003,-0.001809
07/31/2003,0.002856
08/01/2003,-0.010259
08/04/2003,0.002724
08/05/2003,-0.017663
08/06/2003,0.001678
08/07/2003,0.007280
08/08/2003,0.003562
08/11/2003,0.003069
08/12/2003,0.009953
08/13/2003,-0.006382
08/14/2003,0.006585
08/15/2003,0.000162
08/18/2003,0.009155
08/19/2003,0.002611
08/20/2003,-0.002045
08/21/2003,0.002969
08/22/2003,-0.010177
08/25/2003,0.000655
08/26/2003,0.003039
08/27/2003,0.000060
08/28/2003,0.006069
08/29/2003,0.005155
09/02/2003,0.013869
09/03/2003,0.004188
09/04/2003,0.001656
09/05/2003,-0.006401
09/08/2003,0.010035
09/09/2003,-0.008210
09/10/2003,-0.011973
09/11/2003,0.005441
09/12/2003,0.002174
09/15/2003,-0.003750
09/16/2003,0.014298
09/17/2003,-0.003255
09/18/2003,0.013266
09/19/2003,-0.003155
09/22/2003,-0.013008
09/23/2003,0.006071
09/24/2003,-0.019096
09/25/2003,-0.006053
09/26/2003,-0.006399
09/29/2003,0.009761
09/30/2003,-0.010541
10/01/2003,0.022340
10/02/2003,0.001984
10/03/2003,0.009419
10/06/2003,0.004370
10/07/2003,0.004737
10/08/2003,-0.005263
10/09/2003,0.004788
10/10/2003,-0.000645
10/13/2003,0.007023
10/14/2003,0.003951
10/15/2003,-0.002592
10/16/2003,0.003162
10/17/2003,-0.010237
10/20/2003,0.005157
10/21/2003,0.001292
10/22/2003,-0.014980
10/23/2003,0.003310
10/24/2003,-0.004701
10/27/2003,0.002158
10/28/2003,0.015187
10/29/2003,0.001261
10/30/2003,-0.001116
10/31/2003,0.003601
11/03/2003,0.007909
11/04/2003,-0.005448
11/05/2003,-0.001367
11/06/2003,0.005933
11/07/2003,-0.004574
11/10/2003,-0.005792
11/11/2003,-0.000516
11/12/2003,0.011456
11/13/2003,-0.000142
11/14/2003,-0.007615
11/17/2003,-0.006398
11/18/2003,-0.009084
11/19/2003,0.008016
11/20/2003,-0.008432
11/21/2003,0.001577
11/24/2003,0.016227
11/25/2003,0.001720
11/26/2003,0.004327
11/28/2003,-0.000236
12/01/2003,0.011264
12/02/2003,-0.003271
12/03/2003,-0.001772
12/04/2003,0.004687
12/05/2003,-0.007684
12/08/2003,0.007348
12/09/2003,-0.008529
12/10/2003,-0.001066
12/11/2003,0.011482
12/12/2003,0.002735
12/15/2003,-0.005679
12/16/2003,0.006638
12/17/2003,0.001256
12/18/2003,0.011798
12/19/2003,-0.000468
12/22/2003,0.003922
12/23/2003,0.002818
12/24/2003,-0.001807
12/26/2003,0.001691
12/29/2003,0.012401
12/30/2003,0.000144
12/31/2003,0.002055
01/02/2004,-0.003094
01/05/2004,0.012395
01/06/2004,0.001292
01/07/2004,0.002367
01/08/2004,0.004963
01/09/2004,-0.008888
01/12/2004,0.004787
