temp,year,week,hour
8,2013,5,0
7,2013,5,1
7,2013,5,2
6,2013,5,3
5,2013,5,4
5,2013,5,5
5,2013,5,6
5,2013,5,7
5,2013,5,8
5,2013,5,9
5,2013,5,10
5,2013,5,11
4,2013,5,12
4,2013,5,13
4,2013,5,14
5,2013,5,15
6,2013,5,16
7,2013,5,17
7,2013,5,18
8,2013,5,19
9,2013,5,20
9,2013,5,21
9,2013,5,22
9,2013,5,23
7,2013,5,0
7,2013,5,1
6,2013,5,2
5,2013,5,3
6,2013,5,4
6,2013,5,5
6,2013,5,6
5,2013,5,7
6,2013,5,8
5,2013,5,9
5,2013,5,10
6,2013,5,11
7,2013,5,12
6,2013,5,13
6,2013,5,14
8,2013,5,15
10,2013,5,16
12,2013,5,17
12,2013,5,18
13,2013,5,19
14,2013,5,20
14,2013,5,21
14,2013,5,22
13,2013,5,23
12,2013,5,0
12,2013,5,1
11,2013,5,2
10,2013,5,3
9,2013,5,4
9,2013,5,5
8,2013,5,6
7,2013,5,7
6,2013,5,8
7,2013,5,9
7,2013,5,10
7,2013,5,11
6,2013,5,12
6,2013,5,13
7,2013,5,14
9,2013,5,15
12,2013,5,16
15,2013,5,17
16,2013,5,18
17,2013,5,19
18,2013,5,20
17,2013,5,21
17,2013,5,22
16,2013,5,23
12,2013,5,0
11,2013,5,1
10,2013,5,2
9,2013,5,3
8,2013,5,4
8,2013,5,5
8,2013,5,6
8,2013,5,7
8,2013,5,8
9,2013,5,9
9,2013,5,10
9,2013,5,11
8,2013,5,12
7,2013,5,13
6,2013,5,14
7,2013,5,15
7,2013,5,16
7,2013,5,17
7,2013,5,18
7,2013,5,19
7,2013,5,20
7,2013,5,21
7,2013,5,22
7,2013,5,23
7,2013,5,0
7,2013,5,1
7,2013,5,2
7,2013,5,3
7,2013,5,4
7,2013,5,5
7,2013,5,6
7,2013,5,7
7,2013,5,8
7,2013,5,9
7,2013,5,10
7,2013,5,11
7,2013,5,12
7,2013,5,13
